@relation 'selecteddata2-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20,21,22,23,24,25,26,18'

@attribute ecage26 numeric
@attribute ecsex99 {1,2}
@attribute marst26 {1,2,3,4,5,6}
@attribute mjacg26 {1,2,3,4}
@attribute immst15 {1,2,7}
@attribute pvreg25 {10,11,12,13,24,35,46,47,48,59}
@attribute dwtenr25 {1,2}
@attribute mortg25 {1,2}
@attribute multj28 {1,2}
@attribute alhrp28 numeric
@attribute mtlswk28 numeric
@attribute yrxfte11 numeric
@attribute clwkr1 {1,2,3,4,5,6}
@attribute prmjb1 {1,2,8,9}
@attribute fllprt1 {1,2,9}
@attribute nocg2e6 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,99}
@attribute imphwe1 numeric
@attribute uncoll1 {1,2,3}
@attribute n07c3g10 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,99}
@attribute pubpv10 {1,2,9}
@attribute cqpc42 numeric
@attribute rppc42 numeric
@attribute udpd42 numeric
@attribute wgsal42 numeric
@attribute hleveg18 {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute penpln1 {1,2}

@data
50,2,1,1,7,10,1,1,2,1825,999,30,1,1,1,5,29.07,1,11,1,2300,4400,775,57500,11,1
40,1,1,1,7,10,1,1,2,2086,999,19.331132,1,1,1,24,22.56,1,5,2,2200,2500,625,49000,9,1
25,2,2,1,7,10,1,1,1,2130,999,19.331132,1,1,1,14,15,3,14,2,775,0,0,18500,7,2
41,2,1,1,7,10,1,1,2,2086,999,21,1,1,1,4,16.8,3,9,2,2200,0,0,65000,9,2
38,1,6,1,7,10,1,2,2,2086,999,13,1,1,1,13,19.68,3,6,2,2100,5250,0,50000,6,1
35,1,2,1,7,10,1,1,2,2086,999,12,1,1,1,17,21.6,3,6,2,1650,3900,0,37000,6,1
60,2,1,1,7,10,2,1,2,1955,999,24,1,1,1,13,12.8,3,6,2,775,0,0,18000,9,2
28,1,6,1,7,10,1,1,2,3802,999,4,1,1,1,2,28.5,3,12,1,425,775,0,11000,9,1
34,2,6,1,7,10,2,1,2,1955,999,16,1,1,1,5,19.16,1,12,1,2200,2600,550,48000,6,1
36,2,6,1,7,10,2,1,2,268,999,13,1,1,1,17,16.26,3,14,2,0,0,25,3200,6,2
33,1,1,1,2,35,1,1,1,1530,999,7,1,2,1,5,19,1,16,1,1100,0,375,25000,11,2
33,2,1,1,2,35,1,1,1,2025,999,8,1,1,1,1,36.86,1,16,1,2300,4400,825,67500,11,1
61,2,3,1,7,10,1,2,1,2815,999,37,1,1,1,4,21.94,1,16,1,2200,2700,625,49000,9,1
24,1,6,1,7,10,1,2,2,2086,999,6,1,1,1,5,11,3,6,2,925,0,0,22000,6,2
23,1,6,1,7,10,1,2,2,407,0,1,1,2,1,99,12,3,5,2,50,0,0,5250,7,2
58,1,1,1,7,10,1,2,2,2294,999,31,3,9,1,21,999.99,3,4,2,1900,0,0,41000,4,2
