@relation selecteddata2_post1-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.Remove-R4

@attribute ecage26 numeric
@attribute ecsex99 {1,2}
@attribute marst26 {1,2,3,4,5,6}
@attribute pvreg25 {10,11,12,13,24,35,46,47,48,59}
@attribute dwtenr25 {1,2}
@attribute mortg25 {1,2}
@attribute multj28 {1,2}
@attribute alhrp28 numeric
@attribute yrxfte11 numeric
@attribute clwkr1 {1,2,3,4,5,6}
@attribute prmjb1 {1,2,8,9}
@attribute fllprt1 {1,2,9}
@attribute nocg2e6 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,99}
@attribute imphwe1 numeric
@attribute uncoll1 {1,2,3}
@attribute n07c3g10 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,99}
@attribute pubpv10 {1,2,9}
@attribute cqpc42 numeric
@attribute rppc42 numeric
@attribute udpd42 numeric
@attribute wgsal42 numeric
@attribute hleveg18 {1,2,3,4,5,6,7,8,9,10,11,12}

@data
42,2,1,10,2,1,2,2086,23,1,1,1,99,39.36,1,16,1,2300,7250,1100,115000,9
28,2,6,10,1,2,2,1757,19.331132,1,1,9,5,12,3,8,2,1050,0,0,26000,8
43,1,1,10,1,1,2,1825,19.331132,1,1,1,15,31.82,1,16,1,2200,1750,575,55000,11
48,2,1,10,1,1,2,2086,29,1,9,1,3,45.13,1,15,2,2100,5250,1300,80000,9
37,2,1,10,1,1,2,1825,14,1,1,1,12,31.27,3,99,2,2200,0,0,90000,11
40,2,1,10,1,1,2,2086,18,1,1,1,4,16.32,3,5,2,2000,0,0,45000,8
49,2,1,10,1,1,2,1669,31,1,1,1,13,14,3,6,2,1050,0,0,25000,9
45,1,1,10,1,1,2,2086,30,1,1,1,24,15.5,3,5,2,1750,0,0,40000,6
60,1,1,35,1,2,2,2086,37,1,1,1,99,62.4,3,99,2,2300,1100,0,420000,8
27,2,2,10,1,1,2,1955,4,1,9,1,9,30,1,12,1,2300,3800,0,55000,11
49,1,1,10,1,1,1,3519,28,1,2,1,2,43.52,3,12,1,2200,6000,725,77500,12
35,1,1,10,1,1,2,2086,11,1,1,1,20,35.28,1,13,2,2200,1600,1100,65000,11
51,2,1,10,1,1,2,2086,16,1,2,1,10,52.8,1,11,1,2300,6500,1250,145000,11
31,1,1,10,1,1,1,3201,11,1,1,1,20,30,1,99,2,2700,0,2200,72500,10
43,1,1,10,1,1,2,2022,22,1,2,1,21,28,1,7,2,2300,0,2100,105000,9
56,1,3,10,2,1,2,1049,19.331132,1,2,1,20,38,1,4,2,2300,0,1950,57500,9
43,2,1,10,1,2,2,1955,22,1,1,1,5,19.96,1,12,1,2000,2700,650,44000,9
43,1,1,10,1,1,2,2346,19,1,1,1,2,17.07,3,6,2,1900,2000,0,46000,11
53,2,1,10,1,2,2,2086,31,1,1,1,10,35.52,1,11,1,2300,6750,925,75000,11
49,1,1,10,1,1,2,3650,3,1,1,1,99,27,1,14,2,2300,0,0,105000,9
60,2,1,10,1,2,2,1043,32,1,1,2,11,20.88,1,13,1,975,1150,250,23000,9
54,1,1,10,1,2,2,1239,36,1,1,1,14,19.91,1,16,1,2300,175,325,50000,9
48,2,1,10,1,2,2,2086,21,1,1,1,10,21.6,1,11,1,0,0,0,300,11
46,1,1,10,1,1,2,2086,18,1,9,1,11,31.2,1,13,1,2200,0,250,80000,9
37,2,1,10,1,1,2,1955,16,1,1,1,13,14.59,3,6,2,1250,0,0,28000,9
52,2,4,10,1,1,2,1825,33,1,1,1,5,19,1,6,1,1500,2300,550,34000,9
55,2,1,10,1,1,1,2064,28,1,1,1,7,40.96,1,12,1,2300,6000,1600,85000,11
54,1,1,10,1,1,2,2066,30,1,1,1,15,43.2,1,16,1,2400,5500,825,90000,9
